Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Mega Millions,A-B PETROLEUM #16,715 S MAIN ST,BRECKENRIDGE,80424,1,"$1,500"
Mega Millions,A-B PETROLEUM #19,1253 W ALAMEDA AVE,DENVER,80223,1,"$10,000"
Mega Millions,A-B PETROLEUM #20,9700 E MONTVIEW BLVD,AURORA,80010,1,"$1,500"
Mega Millions,A-B PETROLEUM #23,2601 S LEWIS WY,LAKEWOOD,80227,1,"$2,500"
Mega Millions,A-B PETROLEUM #33,502 SHERIDAN,LAKEWOOD,80226,1,"$1,500"
Mega Millions,A-B PETROLEUM #34,303 S COLORADO BLVD,DENVER,80246,3,"$5,000"
Mega Millions,A-B PETROLEUM #35,785 COLORADO BLVD,DENVER,80206,1,"$1,500"
Mega Millions,A-B PETROLEUM #36,14501 E COLFAX AVE,AURORA,80011,1,"$2,000"
Mega Millions,A C S CONOCO,601 W MISSISSIPPI,DENVER,80223,1,"$10,000"
Mega Millions,AE GAS AND FOOD,7490 PECOS ST,DENVER,80221,1,"$10,000"
Mega Millions,ALBERTSONS #801,311 W COLLEGE DR,DURANGO,81301,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #1243,5190 WARD RD,WHEAT RIDGE,80033,2,"$3,500"
Mega Millions,ALTA CONVENIENCE #1281,13694 E ILIFF AVE,AURORA,80014,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #3104,725 W NORTHERN AVE,PUEBLO,81004,2,"$3,000"
Mega Millions,ALTA CONVENIENCE #3106,2801 N ELIZABETH,PUEBLO,81003,2,"$3,500"
Mega Millions,ALTA CONVENIENCE #3109,2102 NORWOOD AVE,PUEBLO,81001,1,"$2,500"
Mega Millions,ALTA CONVENIENCE #3113,723 S PUEBLO BLVD,PUEBLO,81005,2,"$2,500"
Mega Millions,ALTA CONVENIENCE #3401,1331 GRAND AVE,MONTE VISTA,81144,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #3501,3213 MAIN ST,ALAMOSA,81101,1,"$2,000"
Mega Millions,ALTA CONVENIENCE #3701,337 W 1ST STREET,SALIDA,81201,1,"$1,500"
Mega Millions,ALTA CONVENIENCE #3850,821 W TOMICHI AVE,GUNNISON,81230,1,"$1,500"
Mega Millions,ALTA CONVENIENCE #5504,805 GRAND AVE,DEL NORTE,81132,2,"$2,000"
Mega Millions,ALTA CONVENIENCE #6003,5510 S HWY 85,COLORADO SPRINGS,80911,1,"$15,000"
Mega Millions,ALTA CONVENIENCE #6008,5050 BOARDWALK DR,COLORADO SPRINGS,80919,1,"$10,000"
Mega Millions,ALTA CONVENIENCE #6011,11614 W BELLEVIEW #A,LITTLETON,80127,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #6013,1970 S HOLLY ST,DENVER,80222,1,"$20,000"
Mega Millions,ALTA CONVENIENCE #6017,7450 S COLORADO BLVD,LITTLETON,80122,1,"$1,500"
Mega Millions,ALTA CONVENIENCE #6101,2105 W COLORADO AVE,COLORADO SPRINGS,80904,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #6136,2775 BRIARGATE BLVD,COLORADO SPRINGS,80920,1,"$1,500"
Mega Millions,ALTA CONVENIENCE #6141,11000 US HIGHWAY 50,PONCHA SPRINGS,81242,1,"$10,000"
Mega Millions,ALTA CONVENIENCE #6144,"1370 S PARKER RD
UNIT B",DENVER,80231,1,"$1,000"
