,store,address,city,zip,number_of_winners_sold,total_amount_won
76,7-ELEVEN #39729A BCP TWINSTAR,2299 S HAVANA STREET,AURORA,80014,1,250000
77,80TH AVE LIQUORS,6933 E 80TH AVE,COMMERCE CITY,80022,1,2693489
78,A-B PETROLEUM #23,2601 S LEWIS WY,LAKEWOOD,80227,1,1000
79,A-B PETROLEUM #32,400 E 104TH AVE,THORNTON,80233,1,4135282
80,ALAMEDA LIQUOR MART,"9660 E ALAMEDA AVE
STE 103",DENVER,80247,1,1500
81,ALBERTSONS #801,311 W COLLEGE DR,DURANGO,81301,2,1544448
82,ALL AMERICAN GAS PLUS,10580 HURON ST,NORTHGLENN,80234,1,2075
83,ALL PRO LIQUOR,2913 F ROAD #104,GRAND JUNCTION,81504,1,1220
84,ALTA CONVENIENCE #3103,623 GRAND AVE,PUEBLO,81003,1,1200
85,ALTA CONVENIENCE #3113,723 S PUEBLO BLVD,PUEBLO,81005,2,3160
86,ALTA CONVENIENCE #3701,337 W 1ST STREET,SALIDA,81201,1,1000
87,ALTA CONVENIENCE #3850,821 W TOMICHI AVE,GUNNISON,81230,1,1000
88,ALTA CONVENIENCE #6008,5050 BOARDWALK DR,COLORADO SPRINGS,80919,1,1250
89,ALTA CONVENIENCE #6011,11614 W BELLEVIEW #A,LITTLETON,80127,1,1984
90,ALTA CONVENIENCE #6101,2105 W COLORADO AVE,COLORADO SPRINGS,80904,1,1070
91,ALTA CONVENIENCE #6144,"1370 S PARKER RD
UNIT B",DENVER,80231,1,1000
92,AMPRIDE,913 COLORADO AVE,STRATTON,80836,1,1000
93,ANDY'S LIQUOR MART,922 N 1ST ST,GRAND JUNCTION,81501,1,1000
94,AS & DC CONOCO,16920 E QUINCY AVE,AURORA,80015,1,1097
95,ATHMAR MART,1789 W MISSISSIPPI AVE,DENVER,80223,1,1250
96,AVON LIQUOR,100 W BEAVER CREEK BLVD,AVON,81620,1,3345352
97,A-Z CONVENIENCE,"16070 E DARTMOUTH AVE
STE 12",AURORA,80013,1,1200
98,BASA CONOCO,931 S KIPLING PKWY,LAKEWOOD,80226,1,1306
99,BEEMAN'S GAS & GROCERY,"5587 N US HIGHWAY 85
UNIT 213",SEDALIA,80135,1,1200
100,BILLY'S CASINO,233 E BENNETT AVE,CRIPPLE CREEK,80813,1,3589101
101,BOOKCLIFF LIQUORS,3026 F ROAD,GRAND JUNCTION,81504,1,1346372
102,BORDERLINE #1,68947 US HWY 85,CARR,80612,4,5192
103,BOW MART,5198 S LOWELL BLVD,LITTLETON,80123,1,1000
104,BRANDING IRON LIQUOR,3204 W CR 54G,LAPORTE,80535,1,1083
105,BREAK TIME,15015 E HINSDALE DRIVE,CENTENNIAL,80112,1,1404
106,BRIGHTON CORNERSTOP,21 WELD CO RD 27,BRIGHTON,80603,1,1428
107,BROADWAY SINCLAIR,6185 BROADWAY W 62ND AVE,DENVER,80216,1,1250
108,CAPITOL HEIGHTS PHARMACY,1200 MADISON STREET,DENVER,80206,1,2075
109,CEDAREDGE FOODTOWN,210 SE INDEPENDENCE AVE,CEDAREDGE,81413,1,1083
110,C & F FOOD STORE #10,437 32 ROAD,CLIFTON,81520,2,1250
111,C & F FOOD STORE #2,3199 MESA AVE,GRAND JUNCTION,81504,1,1250
112,CHAMBERS GAS & WASH,5103 CHAMBERS RD,DENVER,80239,2,2950
113,CIRCLE K #2703291,6135 N CAREFREE CIRCLE,COLORADO SPRINGS,80922,1,1250
114,CIRCLE K #2709838,6560 S ACADEMY BLVD,COLORADO SPRINGS,80906,1,1428
115,CIRCLE K #2709839,12051 N HURON ST,WESTMINSTER,80234,1,1250
116,CIRCLE K #2709860,23 W WOLFENSBERGER,CASTLE ROCK,80109,1,1201
117,CIRCLE K #2709868,3600 W 38TH AVE,DENVER,80211,1,1133
118,CIRCLE K #2709879,7550 S UNIVERSITY BLVD,LITTLETON,80122,1,1500
119,CIRCLE K #2709899,2290 S HAVANA ST,AURORA,80014,1,1000
120,CIRCLE K #2709903,595 SUMMIT BLVD,BROOMFIELD,80021,1,2950000
121,CIRCLE K #2740645,2500 W EISENHOWER,LOVELAND,80537,1,1058
122,CIRCLE K #2740661,4498 SHERIDAN BLVD,DENVER,80212,1,1115
123,CIRCLE K #2740666,94 W WOLFENSBERGER RD,CASTLE ROCK,80109,2,2154
124,CIRCLE K #2740669,5600 E 64TH AVE,COMMERCE CITY,80022,2,3134287
125,CIRCLE K #2740695,4825 GALLY RD,COLORADO SPRINGS,80915,2,2094
126,CIRCLE K #2741115,11195 HURON ST,NORTHGLENN,80234,1,1022
127,CIRCLE K #2741126,13185 S PARKER ROAD,PARKER,80134,2,3184
128,CIRCLE K #2741127,14705 E ARAPAHOE RD,AURORA,80016,1,1306
129,CIRCLE K #2741129,895 W 136TH AVENUE,BROOMFIELD,80023,2,2045
130,CIRCLE K #2741139,301 E 120TH AVE,THORNTON,80233,1,1004
131,CIRCLE K #2741141,4797 S WADSWORTH BLVD,LITTLETON,80123,1,1000
132,CIRCLE K #2741147,575 S HOVER STREET,LONGMONT,80501,1,1798
133,CIRCLE K #2741159,34 CENTENNIAL BLVD,HIGHLANDS RANCH,80129,1,1798
134,CIRCLE K #2741166,18565 SMOKY HILL RD,CENTENNIAL,80015,2,2201
135,CIRCLE K #2741180,9180 W 88TH AVE,WESTMINSTER,80005,2,2211
136,CIRCLE K #2741185,5390 W 112TH AVE,WESTMINSTER,80020,1,1050
137,CIRCLE K #2741189,9945 S OSWEGO ST,PARKER,80134,1,1571
138,CIRCLE K #2741715,6220 S GUN CLUB ROAD,AURORA,80016,1,1250
139,CIRCLE K #2741716,1110 S BUCKLEY RD,AURORA,80017,1,1088
140,CIRCLE K #2744074,5601 N QUEBEC STREET,COMMERCE CITY,80022,2,2210
141,CIRCLE K #2744086,1001 N BROADWAY,DENVER,80203,1,1250
142,CIRCLE K #2744100,8263 S QUEBEC,ENGLEWOOD,80112,1,1401
143,CIRCLE K #2744112,2119 GRAND AVE,GLENWOOD SPRINGS,81601,1,1261
144,CIRCLE K #2744123,1599 W LITTLETON BLVD,LITTLETON,80120,3,3935
145,CITY MARKET #401,2770 HWY 50 SOUTH,GRAND JUNCTION,81503,1,1676084
146,CITY MARKET #403,128 S TOWNSEND,MONTROSE,81401,1,1083
147,CITY MARKET #408,508 E MAIN,CORTEZ,81321,1,1434
148,CITY MARKET #413,135 S PLUM STREET,FRUITA,81521,4,660470
149,CITY MARKET #414,1825 CENTRAL PARK DR,STEAMBOAT SPRINGS,80487,1,1204
150,CITY MARKET #415,505 W VICTORY,CRAIG,81625,1,4108631
151,CITY MARKET #417,1703 FREMONT,CANON CITY,81212,1,1115
152,CITY MARKET #419,880 N MAIN,GUNNISON,81230,1,1000
153,CITY MARKET #421,3130 MAIN AVE,DURANGO,81301,1,1304
154,CITY MARKET #425,569 32 RD,GRAND JUNCTION,81504,2,2512
155,CITY MARKET #434,103 MARKET ST,EAGLE,81631,1,1035
156,CITY MARKET #435,1051 HWY 133,CARBONDALE,81623,1,1000
157,CITY MARKET #437,438 S HWY 24,BUENA VISTA,81211,1,1133
158,CITY MARKET #440,16400 S TOWNSEND,MONTROSE,81401,2,2354
159,CITY MARKET #441,850 CASTLE VALLEY BLVD,NEW CASTLE,81647,1,1058
160,CITY MARKET #444,2600 N 12TH ST,GRAND JUNCTION,81501,1,1045
161,CITY MARKET #445 FUEL CENTER,200 COUNTRY CENTER DRIVE,PAGOSA SPGS,81147,1,1000
162,CITY MARKET #446,1001 THOMPSON RD,GRANBY,80446,1,1118
163,CONOCO,4001 N COLORADO BLVD,DENVER,80216,1,1216
164,CONOCO,2636 US HIGHWAY 24,FLORISSANT,80816,1,2837508
165,CONVENIENCE PLUS 5 INC,3142 EVERGREEN PKWY,EVERGREEN,80439,1,1250
166,CORKLE ENTERPRISES INC,597 MAIN ST,WALDEN,80480,1,1571
167,CORNER MARKET,1135 E SOUTH BOULDER RD,LOUISVILLE,80027,1,1000
168,CORNER MART,501 RAILROAD ST,GILCREST,80623,1,1500
169,DEL'S LIQUOR MART INC,6079 QUEBEC ST,COMMERCE CITY,80022,1,1079
170,DENO'S COUNTRY STORE,4000 E 100TH AVE,THORNTON,80229,1,1258
171,EAST TIN CUP MARKET,17881 W COLFAX AVE,GOLDEN,80401,1,1250
172,ELDORADO CORNER MARKET,1805 S FOOTHILLS HIGHWAY,BOULDER,80303,1,1000
173,EL JEBEL CONVENIENCE STORE,19001 HWY 82,CARBONDALE,81623,1,1000
174,ELM STREET LIQUOR,201 ELM ST,STERLING,80751,1,1219
175,EVERYDAY #5702,906 PETERSON RD,COLORADO SPRINGS,80915,1,1101
176,EXXON #246,2651 E 120TH AVE,THORNTON,80233,1,1200
177,EXXON STATION UNION INC.,701 N UNION BLVD,COLORADO SPRINGS,80909,1,1500
178,EZ CONVENIENCE STORE,6504 E ALAMEDA AVENUE,DENVER,80224,1,913642
179,FAN'S 66,7960 NIWOT RD #A1,LONGMONT,80503,1,1442050
180,FAST MARKET #8149,15303 E QUINCY AVE,AURORA,80015,1,1000
181,FAST MARKET #8150,1004 US HWY 287,BROOMFIELD,80020,1,1000
182,FAST-N-FRIENDLY FOOD MART,5595 E FLORIDA AVE,DENVER,80222,1,1028
183,FISHERS LIQUOR BARN,2438 PATTERSON ROAD,GRAND JUNCTION,81505,1,554957
184,FREDERICK TRAVEL CENTER,3768 HWY 52,FREDERICK,80516,2,1173244
185,GATEWAY SERVICES,124 W BRONTOSAURUS BLVD,DINOSAUR,81610,1,1250
186,G&E LIQUORS,18680 E ILIFF AVE #D,AURORA,80013,5,6387
187,GIANT DISCOUNT LIQUOR,1000 S WADSWORTH BLVD #C,LAKEWOOD,80226,1,1118
188,HERITAGE MARKET,180 S ELM,EATON,80615,1,1118
189,HIGH SPIRITS LIQUOR,301 S SANTA FE AVE,FOUNTAIN,80817,1,1066
190,HILL PETROLEUM,6291 W 58TH AVE,ARVADA,80002,1,1030
191,HI-TEST ELBERT,24501 N ELBERT ROAD,ELBERT,80106,1,1434
192,HORIZON FOOD & GAS,1009 W LITTLETON BLVD,LITTLETON,80120,1,1000
193,HOUSE OF SPIRITS MONTROSE,1518 E MAIN STREET,MONTROSE,81401,1,1250
194,IN N OUT CONOCO,2801 E MAIN ST,CANON CITY,81212,2,3901000
195,IN THE MIDDLE LIQUORS,303 US HWY 6 & 50,FRUITA,81521,2,2500
196,JERSEY STREET LIQUORS,928 JERSEY ST,DENVER,80220,1,1500
197,JIM'S NEIGHBORHOOD LOUNGE,1833 PETERSON RD,COLORADO SPRINGS,80915,1,1500
198,JR'S COUNTRY STORE #306,2495 N 9TH ST,CANON CITY,81212,1,1216
199,JULESBURG FAMILY MARKET,222 CEDAR ST,JULESBURG,80737,1,1068
200,KEN CARYL CONVENIENCE LLC,11531 W KEN CARYL AVE,LITTLETON,80127,1,1250
201,K & G CONOCO #548,3996 E EVANS,DENVER,80210,1,1050
202,KING SOOPERS #03 FUEL CENTER,6350 SHERIDAN BLVD,ARVADA,80003,1,2808619
203,KING SOOPERS #05,1355 KRAMERIA,DENVER,80220,2,2388
204,KING SOOPERS #06,1750 W UINTAH,COLORADO SPRINGS,80904,3,3645
205,KING SOOPERS #08,2205 W WILDCAT RESERVE PKWY,LITTLETON,80129,5,5647
206,KING SOOPERS #10,15250 E MISSISSIPPI AVE,AURORA,80012,3,3365
207,KING SOOPERS #100,4910 S YOSEMITE STREET,GREENWOOD VILLAGE,80111,2,2097
208,KING SOOPERS #101,13700 COLORADO BLVD,THORNTON,80602,1,1219
209,KING SOOPERS #102,1611 PACE ST,LONGMONT,80504,2,2092
210,KING SOOPERS #105,6110 FIRESTONE BLVD,LONGMONT,80504,1,1500
211,KING SOOPERS #107,25701 E SMOKY HILL RD,AURORA,80016,2,2140
212,KING SOOPERS #109,5050 S FEDERAL BLVD,ENGLEWOOD,80110,2,2022
213,KING SOOPERS #11,2100 35TH AVE,GREELEY,80634,1,1356
214,KING SOOPERS #112,1045 1ST STREET,BENNETT,80102,5,6003
215,KING SOOPERS #118,2355 W 136TH AVE,BROOMFIELD,80023,2,2068
216,KING SOOPERS #119 FUEL CENTER,9255 N UNION BLVD,COLORADO SPRINGS,80920,1,5004290
217,KING SOOPERS #12,3050 W NORTHERN AVE,PUEBLO,81005,2,3201220
218,KING SOOPERS #121,8055 SHERIDAN BLVD,ARVADA,80003,2,2416
219,KING SOOPERS #122,7901 S BROADWAY,LITTLETON,80122,1,1564
220,KING SOOPERS #126,17761 COTTONWOOD DR,PARKER,80134,1,1000
221,KING SOOPERS #127,7984 W ALAMEDA AVE,LAKEWOOD,80226,1,1035
222,KING SOOPERS #128,18211 E HAMPDEN AVE,AURORA,80013,1,1007
223,KING SOOPERS #129,1891 STATE HWY 7,ERIE,80516,1,1500
224,KING SOOPERS #130,3620 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80918,3,2250
225,KING SOOPERS #132,750 RIDGE RD,CASTLE ROCK,80104,1,1032
226,KING SOOPERS #134,7915 CONSTITUTION AVE,COLORADO SPRINGS,80951,2,2500
227,KING SOOPERS #136,100 N 50TH AVE,BRIGHTON,80601,1,1500
228,KING SOOPERS #137,14967 CANDELAS PKWY,ARVADA,80007,2,2450
229,KING SOOPERS #139,3050 S PEORIA ST,AURORA,80014,1,1000
230,KING SOOPERS #16,19711 E SMOKY HILL RD,CENTENNIAL,80015,2,2140
231,KING SOOPERS #19,3100 S SHERIDAN,DENVER,80227,1,6722209
232,KING SOOPERS #20,3400 YOUNGFIELD ST,WHEAT RIDGE,80033,3,3196
233,KING SOOPERS #22,9731 W 58TH AVE,ARVADA,80002,1,2325
234,KING SOOPERS #22 FUEL CENTER,9731 W 58TH AVE,ARVADA,80002,1,703953
235,KING SOOPERS #24,750 E 104TH AVE,THORNTON,80233,1,1049
236,KING SOOPERS #25,11747 W KEN CARYL AVE,LITTLETON,80127,5,5907
237,KING SOOPERS #26,6470 E HAMPDEN AVE,DENVER,80222,4,2062627
238,KING SOOPERS #27,9551 S UNIVERSITY BLVD,HIGHLANDS RANCH,80126,1,1079
239,KING SOOPERS #28,6550 LOOKOUT RD,BOULDER,80301,1,1101
240,KING SOOPERS #30,1155 S HAVANA,AURORA,80012,1,3312287
241,KING SOOPERS #31,1927 S WADSWORTH,LAKEWOOD,80227,2,2500
242,KING SOOPERS #33,3600 TABLE MESA DRIVE,BOULDER,80305,1,1070
243,KING SOOPERS #38,5050 E ARAPAHOE RD,LITTLETON,80122,1,1434
244,KING SOOPERS #40,12043 W ALAMEDA,LAKEWOOD,80228,1,2283438
245,KING SOOPERS #41,6760 S PIERCE ST,LITTLETON,80128,1,1032
246,KING SOOPERS #43,102 W 29TH ST,PUEBLO,81008,3,1395348
247,KING SOOPERS #44,253 E 29TH ST,LOVELAND,80538,2,2426
248,KING SOOPERS #45,12350 W 64TH AVE,ARVADA,80004,2,2535
249,KING SOOPERS #47,7575 S UNIVERSITY BLVD,LITTLETON,80122,1,1306
250,KING SOOPERS #49,17000 E ILIFF AVE,AURORA,80013,2,2220
251,KING SOOPERS #52 FUEL CENTER,15109 E COLFAX AVENUE,AURORA,80011,1,1216
252,KING SOOPERS #55,9983 WADSWORTH PKWY,BROOMFIELD,80021,2,2300
253,KING SOOPERS #58,815 CHEYENNE MEADOWS,COLORADO SPRINGS,80906,3,3705
254,KING SOOPERS #59,1545 S KIPLING ST,LAKEWOOD,80232,1,1250
255,KING SOOPERS #61,1650 30TH ST,BOULDER,80301,1,5332013
256,KING SOOPERS #63,8200 S HOLLY,LITTLETON,80122,1,1256
257,KING SOOPERS #68,3801 E 120TH AVE,THORNTON,80233,1,1022
258,KING SOOPERS #69,4271 S BUCKLEY RD,AURORA,80013,5,7496587
259,KING SOOPERS #72,2750 S COLORADO BLVD,DENVER,80222,3,4250
260,KING SOOPERS #75,12959 S PARKER RD,PARKER,80134,2,3603483
261,KING SOOPERS #76,3570 HARTSEL DR,COLORADO SPRINGS,80920,2,2627
262,KING SOOPERS #77,1070 W BAPTIST RD,COLORADO SPRINGS,80921,2,2460
263,KING SOOPERS #80,995 S HOVER ST,LONGMONT,80501,1,1201
264,KING SOOPERS #81,500 E BROMLEY LN,BRIGHTON,80601,1,1571
265,KING SOOPERS #83,18605 GREEN VALLEY RANCH BLVD,DENVER,80249,2,3701200
266,KING SOOPERS #83 FUEL CENTER,18605 GREEN VALLEY RANCH BLVD,DENVER,80249,1,1692
267,KING SOOPERS #84,6412 S PARKER RD,AURORA,80016,2,2500
268,KING SOOPERS #85,15200 W 64TH AVE,ARVADA,80007,2,2601
269,KING SOOPERS #86,12167 SHERIDAN BLVD,BROOMFIELD,80020,2,2951079
270,KING SOOPERS #88,17031 LINCOLN AVE,PARKER,80134,2,11160559
271,KING SOOPERS #89,1150 US HIGHWAY 287,BROOMFIELD,80020,1,1000
272,KING SOOPERS #90,1725 SHERIDAN BLVD,EDGEWATER,80214,1,1095
273,KING SOOPERS #91,7284 LAGAE RD,CASTLE ROCK,80108,2,2311
274,KING SOOPERS #93,2810 QUEBEC ST,DENVER,80207,1,1180
275,KING SOOPERS #96,6000 S HOLLY ST,GREENWOOD VILLAGE,80111,2,2819
276,KING SOOPERS #96 FUEL CENTER,5950 S HOLLY ST,GREENWOOD VILLAGE,80111,2,2250
277,KING SOOPERS #97,2602 S TIMBERLINE RD,FORT COLLINS,80525,3,3334
278,KING SOOPERS #98,6030 STETSON HILLS BLVD,COLORADO SPRINGS,80923,3,3918
279,KITTREDGE GENERAL STORE,26301 HILLTOP DR HWY 74,KITTREDGE,80457,1,1250
280,KUM & GO #4923,705 TAUGHENBAUGH,RIFLE,81650,1,1489
281,KUM & GO #4951,105 6TH ST,GLENWOOD SPRINGS,81601,1,1000
282,KUM & GO #659,9665 PROMINENT PT,COLORADO SPRINGS,80924,1,1200
283,KUM & GO #667,7375 DURYEA DR,COLORADO SPRINGS,80923,1,1049
284,KUM & GO #672,3025 HANCOCK EXPRESS WAY,COLORADO SPRINGS,80916,1,1500
285,KUM & GO #907,101 RUBY RANCH RD,SILVERTHORNE,80498,1,1004
286,KUM & GO #910,366 N 71ST AVE,GREELEY,80634,1,1068
287,KUM & GO #912,30393 KINGS VALLEY DR,CONIFER,80433,1,1434
288,KUM & GO #913,13799 PACIFIC CIR,LONGMONT,80504,1,1000
289,KUM & GO #914,7027 20TH STREET,GREELEY,80634,1,1250
290,KUM & GO #928,80 ANGLERS DR,STEAMBOAT SPRINGS,80477,1,1095
291,KUM & GO #930,2150 E BRIDGE STREET,BRIGHTON,80601,1,1000
292,KUM & GO #934,8150 6TH STREET,WELLINGTON,80549,1,8602987
293,KUM & GO #938,308 W AGATE AVE,GRANBY,80446,1,3277122
294,KUM & GO #973,127 LAURA WAY,DACONO,80514,1,1118
295,LIQUOR MAX,1497 E EISENHOWER BLVD,LOVELAND,80537,1,1262865
296,LIQUOR STOP,6525 FOUNTAIN MESA RD,COLORADO SPRINGS,80911,1,738404
297,LOAF N JUG #11,4901 N CASTLETON DR,CASTLE ROCK,80109,1,2350
298,LOAF N JUG #15,243 HWY 5O EAST,AVONDALE,81022,1,1000
299,LOAF N JUG #19,150 W DRAKE ROAD,FORT COLLINS,80525,1,1250
300,LOAF N JUG #203,2419 N ELIZABETH,PUEBLO,81003,1,1000
301,LOAF N JUG #25,4800 THATCHER,PUEBLO,81005,1,1000
302,LOAF N JUG #41,6857 SPACE VILLAGE AVE,COLORADO SPRINGS,80915,1,734297
303,LOAF N JUG #42,1930 S ACADEMY BLVD,COLORADO SPRINGS,80916,1,1000
304,LOAF N JUG #52,2405 W NORTHERN AVE,PUEBLO,81004,1,1201
305,LOAF N JUG #54,912 ROYAL GORGE BLVD,CANON CITY,81212,1,1250
306,LOAF N JUG #56,137 MANITOU AVE,MANITOU SPRINGS,80829,1,1180
307,LOAF N JUG #59,705 CARSON,LAS ANIMAS,81054,1,1000
308,LOAF N JUG #67,1525 W 4TH ST,PUEBLO,81004,2,5394740
309,LOAF N JUG #69,519 W HWY 24,WOODLAND PARK,80866,1,1000
310,LOAF N JUG #75,1700 SANTA FE DR,PUEBLO,81006,1,1050
311,LOAF N JUG #76,506 E MAIN ST,FLORENCE,81226,1,1101
312,LOAF N JUG #807,710 COPPER CENTER PARKWAY,COLORADO SPRINGS,80921,1,1032
313,LOAF N JUG #808,161 NORTHGATE BLVD,COLORADO SPRINGS,80921,2,2250
314,LOAF N JUG #81,102 N RUBEY DR,GOLDEN,80403,1,1250
315,LOAF N JUG #83,700 WARNER DR,GOLDEN,80401,1,1710112
316,LOAF N JUG #846,8211 6TH ST,WELLINGTON,80549,1,1137
317,LOAF N JUG #868,101 W BRONTOSAURUS BLVD,DINOSAUR,81610,2,2270
318,LOAF N JUG #87,4125 W NORTHERN AVE,PUEBLO,81005,1,1250
319,LOAF N JUG #94,16355 W 64TH AVE,ARVADA,80007,1,1250
320,LOCAL CONVENIENCE STORE,1901 WADSWORTH BLVD,LAKEWOOD,80214,1,1920005
321,LOCHBUIE GROCERY,0100 WELD CO RD 37,BRIGHTON,80603,1,1571
322,LOMA COUNTRY STORE,1343 13 ROAD,LOMA,81524,1,1066
