,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
90,2105 W COLORADO AVE,COLORADO SPRINGS,80904,38.843486,-104.857167,2105,W Colorado Ave,El Paso County,US,569.0,"(38.843486, -104.857167)"
91,"1370 S PARKER RD
UNIT B",DENVER,80231,39.692689,-104.89211499999999,1370,S Parker Rd,Arapahoe County,US,2012.0,"(39.692689, -104.89211499999999)"
92,913 COLORADO AVE,STRATTON,80836,39.296865999999994,-102.60485899999999,913,Colorado Ave,Kit Carson County,US,715.0,"(39.296865999999994, -102.60485899999999)"
93,922 N 1ST ST,GRAND JUNCTION,81501,39.07598,-108.570416,922,N 1st St,Mesa County,US,1130.0,"(39.07598, -108.570416)"
94,16920 E QUINCY AVE,AURORA,80015,39.638046,-104.789852,16920,E Quincy Ave,Arapahoe County,US,1415.0,"(39.638046, -104.789852)"
95,1789 W MISSISSIPPI AVE,DENVER,80223,39.697067,-105.008982,1789,W Mississippi Ave,Denver County,US,1016.0,"(39.697067, -105.008982)"
96,100 W BEAVER CREEK BLVD,AVON,81620,39.634932,-106.52401,100,W Beaver Creek Blvd,Eagle County,US,1965.0,"(39.634932, -106.52401)"
97,"16070 E DARTMOUTH AVE
STE 12",AURORA,80013,39.658968,-104.799399,16070,E Dartmouth Ave,Arapahoe County,US,1598.0,"(39.658968, -104.799399)"
98,931 S KIPLING PKWY,LAKEWOOD,80226,39.700028,-105.110557,931,S Kipling Pkwy,Jefferson County,US,1011.0,"(39.700028, -105.110557)"
99,"5587 N US HIGHWAY 85
UNIT 213",SEDALIA,80135,39.438385,-104.960601,5587,N US Highway 85,Douglas County,US,4120.0,"(39.438385, -104.960601)"
100,233 E BENNETT AVE,CRIPPLE CREEK,80813,38.746919,-105.177393,233,E Bennett Ave,Teller County,US,1279.0,"(38.746919, -105.177393)"
101,3026 F ROAD,GRAND JUNCTION,81504,39.092102000000004,-108.49162199999999,3026,Patterson Rd,Mesa County,US,2072.0,"(39.092102000000004, -108.49162199999999)"
102,68947 US HWY 85,CARR,80612,40.999575,-104.77626500000001,68947,Hwy 85,Weld County,US,2073.0,"(40.999575, -104.77626500000001)"
103,5198 S LOWELL BLVD,LITTLETON,80123,39.622091,-105.034646,5198,S Lowell Blvd,Arapahoe County,US,607.0,"(39.622091, -105.034646)"
104,3204 W CR 54G,LAPORTE,80535,40.626998,-105.135892,3204,W County Rd 54G,Larimer County,US,672.0,"(40.626998, -105.135892)"
105,15015 E HINSDALE DRIVE,CENTENNIAL,80112,39.583079999999995,-104.81314,15035,E Hinsdale Dr,Arapahoe County,US,1121.0,"(39.583079999999995, -104.81314)"
106,21 WELD CO RD 27,BRIGHTON,80603,40.001401,-104.81647099999999,21,County Rd 27,Weld County,US,1361.0,"(40.001401, -104.81647099999999)"
107,6185 BROADWAY W 62ND AVE,DENVER,80216,39.808585,-104.98812099999999,6185,Broadway St,Adams County,US,1203.0,"(39.808585, -104.98812099999999)"
108,1200 MADISON STREET,DENVER,80206,39.734959,-104.946176,1200,Madison St,Denver County,US,1786.0,"(39.734959, -104.946176)"
109,210 SE INDEPENDENCE AVE,CEDAREDGE,81413,38.891708,-107.92719699999999,210,SE Independence Ave,Delta County,US,1169.0,"(38.891708, -107.92719699999999)"
110,437 32 ROAD,CLIFTON,81520,39.070357,-108.436844,451,Red River Loop,Mesa County,US,2463.0,"(39.070357, -108.436844)"
111,3199 MESA AVE,GRAND JUNCTION,81504,39.082153999999996,-108.46002,3199,Mesa Ave,Mesa County,US,1333.0,"(39.082153999999996, -108.46002)"
112,5103 CHAMBERS RD,DENVER,80239,39.790578000000004,-104.809753,5103,Chambers Rd,Denver County,US,2809.0,"(39.790578000000004, -104.809753)"
113,6135 N CAREFREE CIRCLE,COLORADO SPRINGS,80922,38.885346999999996,-104.712241,6135,N Carefree Cir,El Paso County,US,2273.0,"(38.885346999999996, -104.712241)"
114,6560 S ACADEMY BLVD,COLORADO SPRINGS,80906,38.767444,-104.816535,6560,S Academy Blvd,El Paso County,US,2867.0,"(38.767444, -104.816535)"
115,12051 N HURON ST,WESTMINSTER,80234,39.915487,-104.99743600000001,12051,Huron St,Adams County,US,1196.0,"(39.915487, -104.99743600000001)"
116,23 W WOLFENSBERGER,CASTLE ROCK,80109,39.379177,-104.879875,23,W Wolfensberger Rd,Douglas County,US,2252.0,"(39.379177, -104.879875)"
117,3600 W 38TH AVE,DENVER,80211,39.769284999999996,-105.034976,3600,W 38th Ave,Denver County,US,857.0,"(39.769284999999996, -105.034976)"
118,7550 S UNIVERSITY BLVD,LITTLETON,80122,39.579704,-104.959901,7550,S University Blvd,Arapahoe County,US,1121.0,"(39.579704, -104.959901)"
119,2290 S HAVANA ST,AURORA,80014,39.675118,-104.86555,2290,S Havana St,Arapahoe County,US,701.0,"(39.675118, -104.86555)"
120,595 SUMMIT BLVD,BROOMFIELD,80021,39.928169,-105.137722,595,Summit Blvd,Broomfield County,US,2940.0,"(39.928169, -105.137722)"
121,2500 W EISENHOWER,LOVELAND,80537,40.406853999999996,-105.11078700000002,2500,W Eisenhower Blvd,Larimer County,US,1630.0,"(40.406853999999996, -105.11078700000002)"
122,4498 SHERIDAN BLVD,DENVER,80212,39.778383000000005,-105.05309199999999,4498,Sheridan Blvd,Denver County,US,854.0,"(39.778383000000005, -105.05309199999999)"
123,94 W WOLFENSBERGER RD,CASTLE ROCK,80109,39.37891,-104.87987,94,W Wolfensberger Rd,Douglas County,US,1135.0,"(39.37891, -104.87987)"
124,5600 E 64TH AVE,COMMERCE CITY,80022,39.81261,-104.92191299999999,5600,E 64th Ave,Adams County,US,1440.0,"(39.81261, -104.92191299999999)"
125,4825 GALLY RD,COLORADO SPRINGS,80915,38.846626,-104.7382,4825,Galley Rd,El Paso County,US,1243.0,"(38.846626, -104.7382)"
126,11195 HURON ST,NORTHGLENN,80234,39.899367,-104.997146,11195,Huron St,Adams County,US,684.0,"(39.899367, -104.997146)"
127,13185 S PARKER ROAD,PARKER,80134,39.476287,-104.75914399999999,13185,S Parker Rd,Douglas County,US,1890.0,"(39.476287, -104.75914399999999)"
128,14705 E ARAPAHOE RD,AURORA,80016,39.595723,-104.81760600000001,14705,E Arapahoe Rd,Arapahoe County,US,2446.0,"(39.595723, -104.81760600000001)"
129,895 W 136TH AVENUE,BROOMFIELD,80023,39.943647999999996,-104.999684,895,W 136th Ave,Broomfield County,US,2297.0,"(39.943647999999996, -104.999684)"
130,301 E 120TH AVE,THORNTON,80233,39.914559999999994,-104.984452,301,E 120th Ave,Adams County,US,1937.0,"(39.914559999999994, -104.984452)"
