Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,7-ELEVEN #21967J,1475 'B' STREET,COLORADO SPRINGS,80906,68,"$26,800"
Pick 3,7-ELEVEN #22021B BCP WILLS,23250 2 RIVERS RD,BASALT,81621,1,$500
Pick 3,7-ELEVEN #22059B,525 N UNION,COLORADO SPRINGS,80909,63,"$36,260"
Pick 3,7-ELEVEN #22063A,11599 W COLFAX,LAKEWOOD,80215,11,"$4,310"
Pick 3,7-ELEVEN #22088A BCP WILLS,1329 MAIN ST,CARBONDALE,81623,4,"$1,120"
Pick 3,7-ELEVEN #22194A,14490 E COLFAX AVENUE,AURORA,80011,29,"$10,420"
Pick 3,7-ELEVEN #22233B,1240 E FILLMORE,COLORADO SPRINGS,80907,7,"$2,320"
Pick 3,7-ELEVEN #22358A,1438 ARAPAHOE ST,DENVER,80202,4,"$1,520"
Pick 3,7-ELEVEN #22533C,4601 S BROADWAY,ENGLEWOOD,80113,49,"$19,320"
Pick 3,7-ELEVEN #22537A,1690 PEARL,DENVER,80203,67,"$34,810"
Pick 3,7-ELEVEN #22562 A,1801 S NEVADA AVE,COLORADO SPRINGS,80905,41,"$15,390"
Pick 3,7-ELEVEN #22596C,840 LASHLEY STREET,LONGMONT,80504,28,"$9,130"
Pick 3,7-ELEVEN #22613B,3004 WEST COLORADO,COLORADO SPRINGS,80904,16,"$5,950"
Pick 3,7-ELEVEN #22684B,1428 WEST COLORADO,COLORADO SPRINGS,80904,33,"$14,380"
Pick 3,7-ELEVEN #22706A,601 SANTA FE ST,FOUNTAIN,80817,48,"$18,090"
Pick 3,7-ELEVEN #23154A,13790 E QUINCY AVE,AURORA,80015,37,"$14,940"
Pick 3,7-ELEVEN #23172D,303 N BROADWAY,DENVER,80203,9,"$3,320"
Pick 3,7-ELEVEN #23206B,7211 PECOS,WESTMINSTER,80221,20,"$7,850"
Pick 3,7-ELEVEN #23293A,1800 DOWNING ST,DENVER,80218,42,"$14,930"
Pick 3,7-ELEVEN #23418A,10502 E COLFAX,AURORA,80010,39,"$14,270"
Pick 3,7-ELEVEN #23546B,1402 HARRISON RD,COLORADO SPRINGS,80905,51,"$19,940"
Pick 3,7-ELEVEN #23603A,105 KNOX CT,DENVER,80219,4,"$2,160"
Pick 3,7-ELEVEN #23664A,2396 S FEDERAL,DENVER,80219,4,"$1,160"
Pick 3,7-ELEVEN #23727A,750 S MONACO PKWY,DENVER,80224,73,"$23,730"
Pick 3,7-ELEVEN #23731A,328 E PLATTE,COLORADO SPRINGS,80903,26,"$8,760"
Pick 3,7-ELEVEN #23811J,327 W 8TH ST,PUEBLO,81003,18,"$6,180"
Pick 3,7-ELEVEN #23829B,6302 E 72ND AVE,COMMERCE CITY,80022,28,"$8,550"
Pick 3,7-ELEVEN #23867A,1499 S FEDERAL,DENVER,80219,11,"$4,070"
Pick 3,7-ELEVEN #23888A,1702 S 8TH ST,COLORADO SPRINGS,80905,55,"$20,350"
Pick 3,7-ELEVEN #23899A,85 W ALAMEDA,DENVER,80223,8,"$3,240"
Pick 3,7-ELEVEN #23905B,1000 E COLFAX,DENVER,80218,34,"$11,660"
Pick 3,7-ELEVEN #23935A,3805 E PIKES PEAK AVENUE,COLORADO SPRINGS,80909,31,"$11,010"
Pick 3,7-ELEVEN #23963A,201 BLUE RIVER DR,SILVERTHORNE,80498,2,"$1,080"
Pick 3,7-ELEVEN #23990A,1795 PEORIA ST,AURORA,80010,26,"$9,550"
