Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Cash 5,BYERS THRIFT STORE INC,527 N HWY 36,BYERS,80103,3,"$60,000"
Cash 5,CEDAREDGE FOODTOWN,210 SE INDEPENDENCE AVE,CEDAREDGE,81413,1,"$20,000"
Cash 5,CENTER TOWN LIQUORS,136 S MESA ST,FRUITA,81521,1,"$20,000"
Cash 5,C & F FOOD STORE #2,3199 MESA AVE,GRAND JUNCTION,81504,1,"$20,000"
Cash 5,CHAMBERS PLACE LIQUORS,4856 CHAMBERS RD,DENVER,80239,1,"$20,000"
Cash 5,CHEYENNE MOUNTAIN LIQUORS,730 CHEYENNE MEADOWS RD,COLORADO SPRINGS,80906,1,"$20,000"
Cash 5,CIRCLE K #2703291,6135 N CAREFREE CIRCLE,COLORADO SPRINGS,80922,1,"$20,000"
Cash 5,CIRCLE K #2709838,6560 S ACADEMY BLVD,COLORADO SPRINGS,80906,3,"$23,207"
Cash 5,CIRCLE K #2709839,12051 N HURON ST,WESTMINSTER,80234,1,"$20,000"
Cash 5,CIRCLE K #2709841,1190 W BAPTIST RD,COLORADO SPRINGS,80921,1,"$20,000"
Cash 5,CIRCLE K #2709847,120 S ROCKRIMMON BLVD,COLORADO SPRINGS,80919,1,"$1,000"
Cash 5,CIRCLE K #2709848,1204 E PIKES PEAK,COLORADO SPRINGS,80909,2,"$20,200"
Cash 5,CIRCLE K #2709850,12801 WASHINGTON ST,THORNTON,80241,1,"$1,000"
Cash 5,CIRCLE K #2709852,15291 E HAMPDEN AVE,AURORA,80014,1,"$1,430"
Cash 5,CIRCLE K #2709854,1600 S COLORADO BLVD,DENVER,80222,2,"$40,000"
Cash 5,CIRCLE K #2709860,23 W WOLFENSBERGER,CASTLE ROCK,80109,2,"$3,000"
Cash 5,CIRCLE K #2709870,3805 KIPLING ST,WHEAT RIDGE,80033,3,"$40,200"
Cash 5,CIRCLE K #2709872,4200 S PARKER RD,AURORA,80014,1,"$20,000"
Cash 5,CIRCLE K #2709881,7805 N ACADEMY BLVD,COLORADO SPRINGS,80920,1,"$2,000"
Cash 5,CIRCLE K #2709890,600 S BUCKLEY RD,AURORA,80017,1,$200
Cash 5,CIRCLE K #2709891,1124 FRANCES ST,LONGMONT,80501,1,"$20,000"
Cash 5,CIRCLE K #2740622,6480 S HWY 85/87,FOUNTAIN,80817,1,"$20,000"
Cash 5,CIRCLE K #2740648,8290 N WASHINGTON ST,THORNTON,80229,1,"$20,000"
Cash 5,CIRCLE K #2740650,1850 N MAIN,LONGMONT,80501,1,"$20,000"
Cash 5,CIRCLE K #2740661,4498 SHERIDAN BLVD,DENVER,80212,1,$200
Cash 5,CIRCLE K #2740669,5600 E 64TH AVE,COMMERCE CITY,80022,7,"$140,000"
Cash 5,CIRCLE K #2740682,108 HARRISON,LEADVILLE,80461,1,"$20,000"
Cash 5,CIRCLE K #2740691,2010 W EVANS,ENGLEWOOD,80110,2,"$40,000"
Cash 5,CIRCLE K #2740698,1040 S LINCOLN AVE,LOVELAND,80537,1,"$20,000"
Cash 5,CIRCLE K #2741109,6857 S BROADWAY,LITTLETON,80122,2,"$40,000"
Cash 5,CIRCLE K #2741118,1890 WADSWORTH BLVD,LAKEWOOD,80214,1,"$20,000"
Cash 5,CIRCLE K #2741119,10098 E ALAMEDA AVE,DENVER,80247,3,"$40,200"
Cash 5,CIRCLE K #2741127,14705 E ARAPAHOE RD,AURORA,80016,2,"$40,000"
Cash 5,CIRCLE K #2741136,2121 S CHAMBERS RD,AURORA,80014,1,"$20,000"
Cash 5,CIRCLE K #2741140,291 S SABLE BLVD,AURORA,80012,1,"$20,000"
Cash 5,CIRCLE K #2741157,9701 S PARKER RD,PARKER,80134,4,"$46,000"
Cash 5,CIRCLE K #2741159,34 CENTENNIAL BLVD,HIGHLANDS RANCH,80129,1,"$20,000"
Cash 5,CIRCLE K #2741167,13456 W BOWLES AVE,LITTLETON,80127,1,"$20,000"
Cash 5,CIRCLE K #2741171,430 W ABRIENDO AVE,PUEBLO,81004,1,"$20,000"
Cash 5,CIRCLE K #2741173,11769 E HWY 24,PEYTON,80831,1,"$20,000"
Cash 5,CIRCLE K #2741177,9989 W 80TH AVE,ARVADA,80005,1,"$20,000"
Cash 5,CIRCLE K #2741179,14011 W QUINCY UNIT A,MORRISON,80465,1,"$20,000"
Cash 5,CIRCLE K #2741180,9180 W 88TH AVE,WESTMINSTER,80005,1,"$20,000"
Cash 5,CIRCLE K #2741181,9120 W 1OOTH AVE,BROOMFIELD,80021,1,"$20,000"
Cash 5,CIRCLE K #2741185,5390 W 112TH AVE,WESTMINSTER,80020,1,"$20,000"
Cash 5,CIRCLE K #2741188,2900 S BEAR CREEK BLVD,LAKEWOOD,80228,4,"$80,000"
Cash 5,CIRCLE K #2741190,5553 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80918,1,"$20,000"
Cash 5,CIRCLE K #2741716,1110 S BUCKLEY RD,AURORA,80017,1,"$20,000"
Cash 5,CIRCLE K #2741722,9986 W REMINGTON PL,LITTLETON,80128,2,"$21,005"
Cash 5,CIRCLE K #2744051,3790 CHAMBERS RD,AURORA,80011,2,"$40,000"
Cash 5,CIRCLE K #2744052,3504 S TOWER RD,AURORA,80013,1,"$20,001"
Cash 5,CIRCLE K #2744079,2210 S COLORADO,DENVER,80222,2,"$21,031"
