Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Powerball,KING SOOPERS #29,1155 E 9TH AVE,DENVER,80218,1,"$10,000"
Powerball,KING SOOPERS #30,1155 S HAVANA,AURORA,80012,1,"$10,000"
Powerball,KING SOOPERS #31,1927 S WADSWORTH,LAKEWOOD,80227,1,"$50,000"
Powerball,KING SOOPERS #34,1575 W 84TH AVE,FEDERAL HEIGHTS,80260,2,"$250,000"
Powerball,KING SOOPERS #35,890 S MONACO PKWY,DENVER,80224,2,"$60,000"
Powerball,KING SOOPERS #38,5050 E ARAPAHOE RD,LITTLETON,80122,2,"$60,003"
Powerball,KING SOOPERS #40,12043 W ALAMEDA,LAKEWOOD,80228,1,"$10,000"
Powerball,KING SOOPERS #40 FUEL CENTER,198 S UNION BLVD,LAKEWOOD,80228,1,"$100,000"
Powerball,KING SOOPERS #41,6760 S PIERCE ST,LITTLETON,80128,3,"$30,000"
Powerball,KING SOOPERS #42,2255 N MAIN ST,LONGMONT,80501,2,"$60,000"
Powerball,KING SOOPERS #44,253 E 29TH ST,LOVELAND,80538,1,"$50,000"
Powerball,KING SOOPERS #45,12350 W 64TH AVE,ARVADA,80004,1,"$10,000"
Powerball,KING SOOPERS #47,7575 S UNIVERSITY BLVD,LITTLETON,80122,2,"$60,000"
Powerball,KING SOOPERS #49,17000 E ILIFF AVE,AURORA,80013,2,"$51,000"
Powerball,KING SOOPERS #50,9800 W BELLEVIEW,LITTLETON,80123,1,"$2,000,000"
Powerball,KING SOOPERS #52,15109 E COLFAX,AURORA,80011,1,"$50,000"
Powerball,KING SOOPERS #53,6930 N ACADEMY BLVD,COLORADO SPRINGS,80918,1,"$2,000,000"
Powerball,KING SOOPERS #59,1545 S KIPLING ST,LAKEWOOD,80232,2,"$11,000"
Powerball,KING SOOPERS #60,1555 QUAIL ST,LAKEWOOD,80215,1,"$50,000"
